id,open_date,close_date
6iHO5Wu2uDhH27H4kjy2aA,1999-08-27,2015-09-28
tQcVzouqvryGlr5d3GzSsQ,2001-10-27,2017-07-05
TRarw5oy3j3U02RXMQgPvA,2013-06-28,2017-08-17
I26ue9dUdA5Ab3WQlkTD5Q,2017-04-26,2017-11-30
nQO75n3P3AOx808TxeTZLw,2009-07-17,2017-11-29
GSoJUidIpZHsYR5SByVw5Q,2007-05-10,2017-11-21
LV1OaPS2HeXxeSchIHg,2016-08-03,
mxZQLnMB6oEJIfNqx5GJmg,2013-06-19,
W5pYt58Xo3mt5QyEe5Ymig,2016-01-29,2017-12-19
FGDHB57MoXjAuPQNqDvg,2007-11-21,2017-11-28
md7aM01oXGgM2wZ3pYADg,2016-04-01,2017-12-07
EJD3qDQEKRHGGA8kcLNMg,2014-11-06,
AvfACktUMOi5v4Uh9GPVig,2007-04-19,2017-12-30
x13kpGChSpJ5Gjob3v09w,2014-10-30,
jm7rDcSoWYVcdfJw9NWEw,2013-12-12,2017-12-15
ov0zF8F9BgyjCwMCbHn7Mw,2017-10-11,2017-10-12
6eCUj52hFzqwxdTc9JYe2Q,2015-02-14,2017-09-28
ykaholNazjUF6IieRywg,2012-06-26,2017-11-22
r0fY7DHmnbtVirxmaINxA,2009-02-11,2017-11-23
vpJaKTxShAPIzR3O6WBNtg,2000-05-30,2017-11-25
knJd4g3Shy8ZplBhSMVzDw,2014-07-31,2017-11-22
6EUcacHs6HqiIgdCEB60pA,2017-05-06,2017-12-07
feUltvjFc1cauaXiGwGA,2013-06-20,2017-11-28
xD5BGlG04X3hPpRXDZd0A,2014-10-15,
Pkp6yyuXncJiON0UcIOxHw,2010-05-07,2017-12-07
nHGUSfvX0tEir0EynUq98Q,2012-01-24,2018-03-27
IWFSoFTDXJhXZLcaKAFw,2017-12-06,
Ud3GfZ7BxGDpM9VQT0xSoQ,2012-08-01,2017-11-22
q8pD91iekkhOdYCPjPWD9w,2014-12-30,
nfxxyqDpQd4Pn7vsMwADgg,2010-07-07,2013-04-11
T8NHA2PiiwgR0GAwWRq5w,2015-04-29,2018-02-24
6UEFeUSpepDfh5o7sQC3Q,2014-01-18,
Sjo76YaePx02Lok72EJ4w,2016-05-18,2018-04-11
MVezspyBbLMmOINMjVBSlw,2014-11-06,
FfvFbHjRHONkhi2ak8n4g,2014-06-20,2017-11-25
3OBjfIaphkQ6F8bLxDuoRg,2000-05-09,2017-12-28
MiywMzjVTSOmKPQYoFnaA,2013-12-28,
ga1JDMwoTQqz271nh0Hiaw,2013-12-14,
P3g5PoHXVDAxDZBCX58Yvg,2007-05-03,2017-12-30
jYwrf9l1bgGh3X7iCbR3oQ,2014-02-21,2017-12-30
hgKn8WSDSpycaBVhxRMbYw,2013-12-20,
GtHbSe2CR7h9DUcUXMa3w,2015-12-10,
DDiPEQQ4o7RsGu5x40Zw,2015-02-07,2017-05-19
6UQIXlse78XFUxu2GD9vuw,2017-02-09,
nIBZql3zodSzCnAQ8V6YQ,2013-03-20,2017-10-18
qCEjARjLPso4k7uW8tfx6g,2013-08-24,
EEiEWmxxgkFs7hrRHHA3Uw,2016-05-13,2017-08-31
pHR3sgMQTQZrj3D2vdMTA,2013-11-09,
9QiDc0WtDpDQ0rxvdIJtw,2015-05-26,2017-11-30
xzr1Dh5MZU1ffmJ38pyjbQ,2017-08-16,
S4KzxjEjOd9tJW1qgS3gw,2016-11-25,
U6ThqIuuWiXUSz1Qrf8v3g,2015-06-24,2015-10-30
GLw1V0HiE7z3Yvwq647bXg,2016-10-19,
TVeskVv94xqnXyiwRJTFg,2012-08-01,2017-11-22
hNjA60JFEmHByEhZpHxw,2016-04-01,2017-12-07
FwvoshQvrd8aUT0xAYWpEA,2012-08-01,2017-11-22
8xECcrouYhYQSPEqUbQt2w,2015-02-14,2017-09-28
bzL45o7ONRTSxn4VLKA,2017-04-28,2017-11-30
BlOUPVlRjCYZzH8518XKQ,2011-09-28,2015-10-08
43IlbB1P5glSPCUSe5a5w,2015-06-18,2015-10-30
GWGjhwSWxfwfU3S9MFYRA,2016-10-15,
