id,txn_id,credit_debit_indicator,amount,revr_txn_id,value_date,transaction_date,booking_date
xD5BGlG04X3hPpRXDZd0A,q3nLpB2pCvI0F13sisG0fw,DR,-1.0122108905685192E-7,,2015-02-01,2015-01-31,2015-01-31
S4KzxjEjOd9tJW1qgS3gw,Xg5Xw6x8slALzbgCnziUVg,DR,-6.614292585640836E-5,,2017-12-07,2017-12-06,2017-12-06
hgKn8WSDSpycaBVhxRMbYw,hTG1i3ymAaxSMcbqkYFaeQ,DR,-2.0848833997291845E-7,,2017-04-29,2017-04-28,2017-04-28
q8pD91iekkhOdYCPjPWD9w,BrajWpq2c58m4d7cW7KbQ,DR,-1.9931068324731055E-5,,2018-01-17,2018-01-11,2018-01-11
MVezspyBbLMmOINMjVBSlw,yeQNM4fjgolih04zVYeQ7w,CR,8.106026658147069E-7,,2018-01-01,2017-12-30,2017-12-30
mxZQLnMB6oEJIfNqx5GJmg,u9tRx3vT0lJ49k8YpXVmFA,DR,-2.0848833997291845E-7,,2018-02-02,2018-02-02,2018-02-02
qCEjARjLPso4k7uW8tfx6g,zk1adkNP1t9hXhIUKJTw,DR,-2.0848833997291845E-7,,2015-07-28,2015-07-28,2015-07-28
mxZQLnMB6oEJIfNqx5GJmg,wRlDCnGdUlyDo4mUg7iUg,DR,-0.0030865700073842103,,2016-10-29,2016-10-29,2016-10-29
tQcVzouqvryGlr5d3GzSsQ,j2657H8HmbZMK8zVWFyU5A,CR,0.009820502688720976,,2015-08-19,2015-08-19,2015-08-19
43IlbB1P5glSPCUSe5a5w,n2rsDDrUGqBG5zjzIu40yw,CR,5.524941009282339E-9,,2015-10-29,2015-10-30,2015-10-30
q8pD91iekkhOdYCPjPWD9w,hWvpTHRrN6I2OFTfSLObQ,DR,-2.0848833997291845E-7,,2016-10-12,2016-10-11,2016-10-11
q8pD91iekkhOdYCPjPWD9w,yu6h6qCT9sUnKyQYrKCmg,DR,-2.0848833997291845E-7,,2016-07-08,2016-07-08,2016-07-08
tQcVzouqvryGlr5d3GzSsQ,LiKOXCfVYy7l8HJXIHXOKg,CR,0.01488419754214516,,2013-12-27,2013-12-27,2013-12-27
nIBZql3zodSzCnAQ8V6YQ,mQz78PlKU5jtobStcjvqIQ,DR,-1.042441699864592E-6,,2015-12-01,2015-11-30,2015-11-30
q8pD91iekkhOdYCPjPWD9w,b50rr8wYJTi3QAt1KeUrg,DR,-1.3255584411308166E-5,,2016-07-08,2016-07-08,2016-07-08
pHR3sgMQTQZrj3D2vdMTA,U3HrwC8LKEYamhnW45gbZg,DR,-2.0848833997291845E-7,,2014-08-01,2014-08-01,2014-08-01
3OBjfIaphkQ6F8bLxDuoRg,SBnHw4eU2cZ9riG5IBXSYg,CR,2.0279911015173743E-4,,2015-03-25,2015-03-25,2015-03-25
q8pD91iekkhOdYCPjPWD9w,Bs3GaxGTCrk8DlUKXvr15w,DR,-1.2735718735585697E-5,,2016-10-12,2016-10-11,2016-10-11
3OBjfIaphkQ6F8bLxDuoRg,UOnP0n0JfAycBzAD2jWFw,CR,0.0014283327683204667,,2014-01-28,2014-01-29,2014-01-29
q8pD91iekkhOdYCPjPWD9w,ndPdEJRVMgVpvQst0Hhqgg,DR,-2.0848833997291845E-7,,2015-06-23,2015-06-23,2015-06-23
mxZQLnMB6oEJIfNqx5GJmg,6mT8BSBKQQCmwWVQvqKmqQ,DR,-1.042441699864592E-6,,2017-07-01,2017-06-30,2017-06-30
pHR3sgMQTQZrj3D2vdMTA,v3H8kARpid2C9eehPxytA,DR,-2.0848833997291845E-7,,2016-06-02,2016-06-02,2016-06-02
ykaholNazjUF6IieRywg,riYwoyAAKRw5czZek5tGDA,DR,-2.4059554432874787E-4,,2013-10-09,2013-10-04,2013-10-04
q8pD91iekkhOdYCPjPWD9w,WNLyhseNjFnyzuOTO6Bw,DR,-2.1208893360425072E-5,,2016-07-08,2016-07-08,2016-07-08
pHR3sgMQTQZrj3D2vdMTA,cG5qdmV0gb90FrO3U5xSg,DR,-4.13987999592325E-5,,2017-08-19,2017-08-18,2017-08-18
nIBZql3zodSzCnAQ8V6YQ,w7Ysmn5pXgSkkpjSA6JG8A,DR,-1.042441699864592E-6,,2016-01-01,2015-12-31,2015-12-31
q8pD91iekkhOdYCPjPWD9w,Q5o6OuqQVaYfvfqU8kA,CR,0.0013030521248307402,,2016-10-01,2016-10-01,2016-10-01
6UEFeUSpepDfh5o7sQC3Q,9xNzIgXmziYhvT7KKAZSCw,DR,-3.2576303120768504E-5,,2017-04-20,2017-04-20,2017-04-20
tQcVzouqvryGlr5d3GzSsQ,lTQwYHyP8wHSbROnGBwg,CR,4.737692164869698E-4,,2014-06-24,2014-06-24,2014-06-24
3OBjfIaphkQ6F8bLxDuoRg,fA2hcFnCDYxi1ESlPDLw,CR,3.022976685437331E-6,,2017-10-01,2017-09-30,2017-09-30
LV1OaPS2HeXxeSchIHg,TWc2gw3sSBBfVgG3kmhTVg,DR,-1.5636625497968883E-6,,2017-06-01,2017-05-31,2017-05-31
6eCUj52hFzqwxdTc9JYe2Q,J9IIAdaTzc0LVvmqaib57w,DR,-8.860754448849033E-5,,2016-10-29,2016-10-29,2016-10-29
q8pD91iekkhOdYCPjPWD9w,50W9c5DQsrx0q20xRzI0Qg,DR,-2.0848833997291845E-7,,2018-01-17,2018-01-12,2018-01-12
nQO75n3P3AOx808TxeTZLw,XE22bD121gxx8q7wC4fiqg,CR,2.338759651314207E-5,,2013-04-01,2013-03-29,2013-03-29
q8pD91iekkhOdYCPjPWD9w,lLlEAb8s7SKKQdtd1acbng,DR,-1.2934199635239914E-5,,2016-04-14,2016-04-13,2016-04-13
tQcVzouqvryGlr5d3GzSsQ,cuPBxj3WfnGNpmiQ98g,CR,0.037224744554620895,,2014-11-29,2014-11-29,2014-11-29
q8pD91iekkhOdYCPjPWD9w,wZG7rHEMb5GlT0TIUFhCg,DR,-2.0848833997291845E-7,,2017-10-14,2017-10-10,2017-10-10
q8pD91iekkhOdYCPjPWD9w,PX4WHpRi4FJv5IjjYrxTWw,DR,-2.0848833997291845E-7,,2016-04-14,2016-04-14,2016-04-14
mxZQLnMB6oEJIfNqx5GJmg,gP6WqRfmdKsDBhPhMsE2Q,DR,-1.8763950597562657E-4,,2016-12-20,2016-12-20,2016-12-20
FwvoshQvrd8aUT0xAYWpEA,emxuBT5bdP3LjHB2tlXIUg,DR,-2.0848833997291845E-7,,2015-01-29,2015-01-29,2015-01-29
pHR3sgMQTQZrj3D2vdMTA,hP3AiPXXNgF0XihQyt6dRg,DR,-7.974669621988831E-4,,2016-07-12,2016-07-09,2016-07-09
